Unnamed: 0,Question,Answer,processed_description
0,"What is the description of tactic, Collection according to Mitre Attack framework?","The adversary is trying to gather data of interest to their goal.

Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives. Frequently, the next goal after collecting data is to steal (exfiltrate) the data. Common target sources include various drive types, browsers, audio, video, and email. Common collection methods include capturing screenshots and keyboard input.
The adversary is trying to gather data of interest to their goal.Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives. Frequently, the next goal after collecting data is to steal (exfiltrate) the data. Common target sources include various drive types, browsers, audio, video, and email. Common collection methods include capturing screenshots and keyboard input.
","the adversary is trying to gather data of interest to their goal

collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversarys objectives frequently the next goal after collecting data is to steal exfiltrate the data common target sources include various drive types browsers audio video and email common collection methods include capturing screenshots and keyboard input
the adversary is trying to gather data of interest to their goalcollection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversarys objectives frequently the next goal after collecting data is to steal exfiltrate the data common target sources include various drive types browsers audio video and email common collection methods include capturing screenshots and keyboard input
"
1,"What is the description of tactic, Command and Control according to Mitre Attack framework?","The adversary is trying to communicate with compromised systems to control them.

Command and Control consists of techniques that adversaries may use to communicate with systems under their control within a victim network. Adversaries commonly attempt to mimic normal, expected traffic to avoid detection. There are many ways an adversary can establish command and control with various levels of stealth depending on the victim’s network structure and defenses.
The adversary is trying to communicate with compromised systems to control them.Command and Control consists of techniques that adversaries may use to communicate with systems under their control within a victim network. Adversaries commonly attempt to mimic normal, expected traffic to avoid detection. There are many ways an adversary can establish command and control with various levels of stealth depending on the victim’s network structure and defenses.
","the adversary is trying to communicate with compromised systems to control them

command and control consists of techniques that adversaries may use to communicate with systems under their control within a victim network adversaries commonly attempt to mimic normal expected traffic to avoid detection there are many ways an adversary can establish command and control with various levels of stealth depending on the victims network structure and defenses
the adversary is trying to communicate with compromised systems to control themcommand and control consists of techniques that adversaries may use to communicate with systems under their control within a victim network adversaries commonly attempt to mimic normal expected traffic to avoid detection there are many ways an adversary can establish command and control with various levels of stealth depending on the victims network structure and defenses
"
2,"What is the description of tactic, Credential Access according to Mitre Attack framework?","The adversary is trying to steal account names and passwords.

Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.
The adversary is trying to steal account names and passwords.Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.
","the adversary is trying to steal account names and passwords

credential access consists of techniques for stealing credentials like account names and passwords techniques used to get credentials include keylogging or credential dumping using legitimate credentials can give adversaries access to systems make them harder to detect and provide the opportunity to create more accounts to help achieve their goals
the adversary is trying to steal account names and passwordscredential access consists of techniques for stealing credentials like account names and passwords techniques used to get credentials include keylogging or credential dumping using legitimate credentials can give adversaries access to systems make them harder to detect and provide the opportunity to create more accounts to help achieve their goals
"
3,"What is the description of tactic, Defense Evasion according to Mitre Attack framework?","The adversary is trying to avoid being detected.

Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise. Techniques used for defense evasion include uninstalling/disabling security software or obfuscating/encrypting data and scripts. Adversaries also leverage and abuse trusted processes to hide and masquerade their malware. Other tactics’ techniques are cross-listed here when those techniques include the added benefit of subverting defenses. 
The adversary is trying to avoid being detected.Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise. Techniques used for defense evasion include uninstalling/disabling security software or obfuscating/encrypting data and scripts. Adversaries also leverage and abuse trusted processes to hide and masquerade their malware. Other tactics’ techniques are cross-listed here when those techniques include the added benefit of subverting defenses. 
","the adversary is trying to avoid being detected

defense evasion consists of techniques that adversaries use to avoid detection throughout their compromise techniques used for defense evasion include uninstallingdisabling security software or obfuscatingencrypting data and scripts adversaries also leverage and abuse trusted processes to hide and masquerade their malware other tactics techniques are crosslisted here when those techniques include the added benefit of subverting defenses 
the adversary is trying to avoid being detecteddefense evasion consists of techniques that adversaries use to avoid detection throughout their compromise techniques used for defense evasion include uninstallingdisabling security software or obfuscatingencrypting data and scripts adversaries also leverage and abuse trusted processes to hide and masquerade their malware other tactics techniques are crosslisted here when those techniques include the added benefit of subverting defenses 
"
4,"What is the description of tactic, Discovery according to Mitre Attack framework?","The adversary is trying to figure out your environment.

Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network. These techniques help adversaries observe the environment and orient themselves before deciding how to act. They also allow adversaries to explore what they can control and what’s around their entry point in order to discover how it could benefit their current objective. Native operating system tools are often used toward this post-compromise information-gathering objective. 
The adversary is trying to figure out your environment.Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network. These techniques help adversaries observe the environment and orient themselves before deciding how to act. They also allow adversaries to explore what they can control and what’s around their entry point in order to discover how it could benefit their current objective. Native operating system tools are often used toward this post-compromise information-gathering objective. 
","the adversary is trying to figure out your environment

discovery consists of techniques an adversary may use to gain knowledge about the system and internal network these techniques help adversaries observe the environment and orient themselves before deciding how to act they also allow adversaries to explore what they can control and whats around their entry point in order to discover how it could benefit their current objective native operating system tools are often used toward this postcompromise informationgathering objective 
the adversary is trying to figure out your environmentdiscovery consists of techniques an adversary may use to gain knowledge about the system and internal network these techniques help adversaries observe the environment and orient themselves before deciding how to act they also allow adversaries to explore what they can control and whats around their entry point in order to discover how it could benefit their current objective native operating system tools are often used toward this postcompromise informationgathering objective 
"
5,"What is the description of tactic, Execution according to Mitre Attack framework?","The adversary is trying to run malicious code.

Execution consists of techniques that result in adversary-controlled code running on a local or remote system. Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data. For example, an adversary might use a remote access tool to run a PowerShell script that does Remote System Discovery. 
The adversary is trying to run malicious code.Execution consists of techniques that result in adversary-controlled code running on a local or remote system. Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data. For example, an adversary might use a remote access tool to run a PowerShell script that does Remote System Discovery. 
","the adversary is trying to run malicious code

execution consists of techniques that result in adversarycontrolled code running on a local or remote system techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals like exploring a network or stealing data for example an adversary might use a remote access tool to run a powershell script that does remote system discovery 
the adversary is trying to run malicious codeexecution consists of techniques that result in adversarycontrolled code running on a local or remote system techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals like exploring a network or stealing data for example an adversary might use a remote access tool to run a powershell script that does remote system discovery 
"
6,"What is the description of tactic, Exfiltration according to Mitre Attack framework?","The adversary is trying to steal data.

Exfiltration consists of techniques that adversaries may use to steal data from your network. Once they’ve collected data, adversaries often package it to avoid detection while removing it. This can include compression and encryption. Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.
The adversary is trying to steal data.Exfiltration consists of techniques that adversaries may use to steal data from your network. Once they’ve collected data, adversaries often package it to avoid detection while removing it. This can include compression and encryption. Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.
","the adversary is trying to steal data

exfiltration consists of techniques that adversaries may use to steal data from your network once theyve collected data adversaries often package it to avoid detection while removing it this can include compression and encryption techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission
the adversary is trying to steal dataexfiltration consists of techniques that adversaries may use to steal data from your network once theyve collected data adversaries often package it to avoid detection while removing it this can include compression and encryption techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission
"
7,"What is the description of tactic, Impact according to Mitre Attack framework?","The adversary is trying to manipulate, interrupt, or destroy your systems and data.
 
Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes. Techniques used for impact can include destroying or tampering with data. In some cases, business processes can look fine, but may have been altered to benefit the adversaries’ goals. These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.
The adversary is trying to manipulate, interrupt, or destroy your systems and data.Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes. Techniques used for impact can include destroying or tampering with data. In some cases, business processes can look fine, but may have been altered to benefit the adversaries’ goals. These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.
","the adversary is trying to manipulate interrupt or destroy your systems and data
 
impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes techniques used for impact can include destroying or tampering with data in some cases business processes can look fine but may have been altered to benefit the adversaries goals these techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach
the adversary is trying to manipulate interrupt or destroy your systems and dataimpact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes techniques used for impact can include destroying or tampering with data in some cases business processes can look fine but may have been altered to benefit the adversaries goals these techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach
"
8,"What is the description of tactic, Initial Access according to Mitre Attack framework?","The adversary is trying to get into your network.

Initial Access consists of techniques that use various entry vectors to gain their initial foothold within a network. Techniques used to gain a foothold include targeted spearphishing and exploiting weaknesses on public-facing web servers. Footholds gained through initial access may allow for continued access, like valid accounts and use of external remote services, or may be limited-use due to changing passwords.
The adversary is trying to get into your network.Initial Access consists of techniques that use various entry vectors to gain their initial foothold within a network. Techniques used to gain a foothold include targeted spearphishing and exploiting weaknesses on public-facing web servers. Footholds gained through initial access may allow for continued access, like valid accounts and use of external remote services, or may be limited-use due to changing passwords.
","the adversary is trying to get into your network

initial access consists of techniques that use various entry vectors to gain their initial foothold within a network techniques used to gain a foothold include targeted spearphishing and exploiting weaknesses on publicfacing web servers footholds gained through initial access may allow for continued access like valid accounts and use of external remote services or may be limiteduse due to changing passwords
the adversary is trying to get into your networkinitial access consists of techniques that use various entry vectors to gain their initial foothold within a network techniques used to gain a foothold include targeted spearphishing and exploiting weaknesses on publicfacing web servers footholds gained through initial access may allow for continued access like valid accounts and use of external remote services or may be limiteduse due to changing passwords
"
9,"What is the description of tactic, Lateral Movement according to Mitre Attack framework?","The adversary is trying to move through your environment.

Lateral Movement consists of techniques that adversaries use to enter and control remote systems on a network. Following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it. Reaching their objective often involves pivoting through multiple systems and accounts to gain. Adversaries might install their own remote access tools to accomplish Lateral Movement or use legitimate credentials with native network and operating system tools, which may be stealthier. 
The adversary is trying to move through your environment.Lateral Movement consists of techniques that adversaries use to enter and control remote systems on a network. Following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it. Reaching their objective often involves pivoting through multiple systems and accounts to gain. Adversaries might install their own remote access tools to accomplish Lateral Movement or use legitimate credentials with native network and operating system tools, which may be stealthier. 
","the adversary is trying to move through your environment

lateral movement consists of techniques that adversaries use to enter and control remote systems on a network following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it reaching their objective often involves pivoting through multiple systems and accounts to gain adversaries might install their own remote access tools to accomplish lateral movement or use legitimate credentials with native network and operating system tools which may be stealthier 
the adversary is trying to move through your environmentlateral movement consists of techniques that adversaries use to enter and control remote systems on a network following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it reaching their objective often involves pivoting through multiple systems and accounts to gain adversaries might install their own remote access tools to accomplish lateral movement or use legitimate credentials with native network and operating system tools which may be stealthier 
"
